"DUNMURRY (LAGMORE)",,,,,,,,,,,,
Grid ref,IJ265690,Long,-6.045342,Lat,54.553645,,,,,,,
Station no,6212/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.51,4.64,2.05,3.41,5.07,3.57,4.50,4.02,2.45,4.88,,
February,3.73,1.22,1.79,4.20,4.01,1.64,2.57,5.84,1.68,2.75,,
March,3.47,1.21,0.53,3.67,1.46,2.00,3.47,2.35,2.90,2.28,,
April,2.01,1.92,2.55,0.82,3.19,2.24,2.04,2.09,3.09,3.06,,
May,2.81,1.27,2.10,4.63,3.39,1.57,2.50,3.14,1.24,1.93,,
June,2.25,3.55,1.84,3.35,4.85,3.43,1.52,6.50,2.61,2.19,,
July,4.78,2.46,6.89,5.14,1.63,3.14,4.89,4.80,4.40,7.32,,
August,4.36,6.77,3.72,3.55,1.23,8.98,5.56,5.07,0.95,6.00,,
September,2.53,2.11,2.93,4.81,4.57,3.38,6.31,5.50,1.71,3.05,,
October,0.88,4.15,2.20,6.79,2.92,3.28,4.59,3.15,3.92,6.33,,
November,7.77,3.33,4.41,6.45,2.63,1.78,2.21,2.22,3.77,4.03,,
December,5.03,4.81,3.70,5.87,5.57,4.98,5.10,4.75,5.20,3.26,,
Total,43.13,37.44,34.71,52.69,40.52,39.99,45.26,49.43,33.92,47.08,,
Calc annual,43.13,37.44,34.71,52.69,40.52,39.99,45.26,49.43,33.92,47.08,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
