"MOURNE MOUNTAINS (SPELGA DAM)",,,,,,,,,,,,
Grid ref,IJ263273,Long,-6.066110,Lat,54.179253,,,,,,,
Station no,6207/1/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.09,8.75,8.34,3.83,,,
February,,,,,,1.45,6.48,5.47,1.89,,,
March,,,,,,3.53,8.38,2.40,,,,
April,,,,,,1.68,2.05,2.34,,,,
May,,,,,,1.08,4.82,6.53,,,,
June,,,,,6.02,5.05,1.46,9.12,,,,
July,,,,,2.30,4.54,9.19,5.58,,,,
August,,,,,2.16,10.03,6.81,8.99,,,,
September,,,,,3.10,5.44,7.45,10.36,,5.36,,
October,,,,,3.18,3.45,5.59,3.93,,14.52,,
November,,,,,4.16,2.47,3.65,2.56,,8.99,,
December,,,,,7.32,9.58,8.89,7.87,,5.28,,
Total,,,,,,52.39,73.52,73.49,,,,
Calc annual,0.00,0.00,0.00,0.00,28.24,52.39,73.52,73.49,5.72,34.15,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,NaN,NaN,,
