"PITLOCHRY (BONSKEID)",,,,,,,,,,,,
Grid ref,NN894611,Long,-3.809174,Lat,56.728409,,,,,,,
Station no,5562,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.79,3.32,1.30,3.10,2.10,3.32,5.27,2.78,2.74,2.85,,
February,3.09,0.94,0.90,3.10,2.30,1.70,3.57,2.24,0.88,3.24,,
March,1.42,2.20,0.70,1.40,1.06,2.56,3.59,1.51,2.31,2.18,,
April,3.03,1.53,2.00,1.40,1.34,1.18,1.15,0.88,3.19,3.63,,
May,1.68,3.11,3.10,4.85,2.66,1.87,1.85,3.82,0.94,2.69,,
June,2.45,2.51,3.30,1.86,1.13,3.11,1.46,3.12,2.45,2.43,,
July,1.55,2.14,2.70,2.26,0.84,4.61,3.58,3.89,3.96,2.21,,
August,6.09,3.71,1.90,3.95,0.99,5.26,3.23,5.33,1.30,2.75,,
September,2.32,1.30,3.10,3.32,2.15,5.39,1.96,4.51,1.08,2.49,,
October,1.20,4.40,2.10,6.23,2.47,2.34,2.22,2.70,5.25,4.26,,
November,8.38,1.90,3.90,7.35,2.20,1.49,0.66,1.11,5.04,3.92,,
December,4.42,2.30,4.30,6.20,6.40,6.18,4.84,4.64,7.26,3.62,,
Total,38.42,29.36,29.30,45.02,25.64,39.01,33.38,36.53,36.40,36.27,,
Calc annual,38.42,29.36,29.30,45.02,25.64,39.01,33.38,36.53,36.40,36.27,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
