"ALEMOOR LOCK",,,,,,,,,,,,
Grid ref,NT404156,Long,-2.943362,Lat,55.430651,,,,,,,
Station no,5046/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.81,6.52,,
February,,,,,,,,,1.46,7.49,,
March,,,,,,,,,2.29,1.82,,
April,,,,,,,,,3.66,4.45,,
May,,,,,,,,,0.83,2.23,,
June,,,,,,,,,3.23,2.11,,
July,,,,,,,,,-999.00,3.09,,
August,,,,,,,,,0.95,4.90,,
September,,,,,,,,3.57,1.10,3.01,,
October,,,,,,,,2.89,4.18,3.29,,
November,,,,,,,,1.05,8.90,6.62,,
December,,,,,,,,3.74,5.96,5.08,,
Total,,,,,,,,,39.94,50.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.25,36.37,50.61,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.57,0.00,,
