"MOREBATH MANOR",,,,,,,,,,,,
Grid ref,SS958257,Long,-3.487017,Lat,51.021199,,,,,,,
Station no,1797,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.84,6.53,0.97,2.91,4.34,5.64,4.34,4.19,6.54,4.49,,
February,6.34,1.44,3.01,4.12,4.70,1.08,7.28,5.62,0.25,4.20,,
March,5.41,3.48,1.58,4.56,1.62,1.99,4.18,1.58,4.43,3.17,,
April,3.53,3.29,3.64,1.10,1.00,2.03,0.19,1.20,3.81,3.46,,
May,3.44,3.34,2.06,3.70,4.45,0.76,1.80,4.10,1.28,2.64,,
June,1.20,1.76,2.74,3.03,4.52,1.93,3.00,3.93,2.49,2.09,,
July,1.67,1.51,5.64,4.17,2.25,3.64,4.89,2.71,3.06,4.86,,
August,4.77,6.25,3.92,3.44,0.36,3.49,3.66,5.49,3.95,3.74,,
September,4.13,4.28,5.03,4.57,2.42,7.20,5.09,7.57,0.37,5.34,,
October,2.19,5.95,4.06,4.59,3.46,2.62,3.63,4.10,4.44,12.09,,
November,9.02,5.31,2.71,10.55,4.94,1.45,3.06,3.19,6.90,5.91,,
December,4.30,5.32,1.32,5.30,7.48,5.63,4.46,5.10,10.45,7.10,,
Total,51.84,48.46,36.68,52.04,41.54,37.46,45.58,48.78,47.97,59.09,,
Calc annual,51.84,48.46,36.68,52.04,41.54,37.46,45.58,48.78,47.97,59.09,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
