"ST ABBS HEAD SHORE SIGNAL STATION",,,,,,,,,,,,
Grid ref,NT914461,Long,-2.138424,Lat,55.708263,,,,,,,
Station no,5094/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.80,,,1.36,1.27,1.96,2.38,2.03,0.99,3.21,,
February,2.41,,,1.80,1.17,1.48,1.66,1.84,0.22,1.41,,
March,2.20,,,0.87,0.50,0.76,1.89,2.40,0.52,0.95,,
April,2.84,,,0.67,0.85,0.50,0.41,0.98,1.85,0.99,,
May,2.78,,1.85,2.21,1.20,0.31,1.17,1.48,0.56,1.84,,
June,,,1.40,2.42,0.92,2.06,0.76,2.27,1.25,0.76,,
July,,,1.75,1.52,1.19,3.40,3.10,3.56,1.33,2.67,,
August,,,2.02,3.42,0.32,3.99,3.25,4.25,0.37,3.17,,
September,,,2.69,2.01,1.05,3.17,1.37,1.59,0.55,1.75,,
October,,,1.22,3.62,1.53,1.16,1.34,1.25,2.12,2.57,,
November,,,1.69,2.78,1.15,0.53,0.38,0.71,2.11,1.50,,
December,,,1.45,1.33,2.62,2.46,1.65,2.80,3.07,2.20,,
Total,,,,24.01,13.77,21.78,19.36,25.16,14.94,23.02,,
Calc annual,14.03,0.00,14.07,24.01,13.77,21.78,19.36,25.16,14.94,23.02,,
Difference,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
