"LISBURN SCHOOL",,,,,,,,,,,,
Grid ref,IJ269645,Long,-6.041099,Lat,54.513139,,,,,,,
Station no,6210,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.90,3.69,1.26,2.21,3.49,,,,,,,
February,3.30,0.98,0.99,3.30,2.81,,,,,,,
March,2.43,0.93,0.36,4.05,1.40,,,,,,,
April,1.27,1.75,1.51,0.62,,,,,,,,
May,2.62,1.28,1.39,3.61,2.53,,,,,,,
June,1.09,2.53,1.49,1.92,,,,,,,,
July,3.87,1.90,4.66,3.78,,,,,,,,
August,3.15,5.69,2.96,2.99,,,,,,,,
September,2.29,1.55,2.04,5.02,,,,,,,,
October,0.67,3.25,1.58,4.91,,,,,,,,
November,6.68,2.69,4.09,5.70,,,,,,,,
December,3.99,3.43,2.51,3.98,,,,,,,,
Total,33.26,29.67,24.84,42.09,,,,,,,,
Calc annual,33.26,29.67,24.84,42.09,10.23,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
