"NEWHEY (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SD933112,Long,-2.102708,Lat,53.597327,,,,,,,
Station no,2856,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.18,5.14,2.17,4.45,3.43,5.17,4.69,4.28,3.58,5.37,,
February,3.26,1.50,2.49,3.20,2.24,1.44,3.14,6.13,0.42,2.68,,
March,5.15,2.95,2.40,2.80,2.21,1.32,4.03,2.58,2.08,1.20,,
April,2.72,3.84,3.73,0.79,2.47,2.34,0.50,1.41,4.00,2.68,,
May,2.15,2.41,2.77,3.12,4.18,1.19,1.79,3.93,1.42,1.90,,
June,0.91,3.63,2.50,3.51,3.36,2.86,2.52,4.79,2.86,1.59,,
July,4.55,2.96,6.29,5.49,1.19,6.72,5.73,3.84,3.84,7.31,,
August,5.91,4.55,5.73,6.55,1.02,11.10,5.48,5.86,0.47,4.93,,
September,3.75,3.73,3.47,5.98,3.23,3.56,5.48,4.90,0.39,2.89,,
October,1.40,5.35,2.34,7.85,2.38,3.22,6.64,4.50,4.41,4.54,,
November,8.80,2.63,5.09,6.65,1.99,1.84,2.62,1.47,4.92,6.56,,
December,7.99,4.38,1.89,7.16,6.14,4.48,4.82,4.44,6.75,4.77,,
Total,51.77,43.07,40.87,57.55,33.84,45.24,47.44,48.13,35.14,46.42,,
Calc annual,51.77,43.07,40.87,57.55,33.84,45.24,47.44,48.13,35.14,46.42,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
