"MULL (KELLAN)",,,,,,,,,,,,
Grid ref,NM519406,Long,-6.032125,Lat,56.491903,,,,,,,
Station no,5452/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,4.93,6.52,,,,,,
February,,,,,5.65,3.65,,,,,,
March,,,,,1.75,2.86,,,,,,
April,,,,,6.17,3.47,,,,,,
May,,,,,3.71,4.51,,,,,,
June,,,,,4.34,4.85,,,,,,
July,,,,4.77,0.92,6.62,,,,,,
August,,,,6.81,1.87,6.97,,,,,,
September,,,,12.28,8.36,6.10,,,,,,
October,,,,10.73,9.11,6.69,,,,,,
November,,,,12.15,3.65,6.53,,,,,,
December,,,,11.10,8.82,12.95,,,,,,
Total,,,,,59.28,71.72,,,,,,
Calc annual,0.00,0.00,0.00,57.84,59.28,71.72,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,,
