"CARDIFF WW (BEACONS RESERVOIR)",,,,,,,,,,,,
Grid ref,SN987192,Long,-3.472475,Lat,51.862156,,,,,,,
Station no,4156,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,12.16,8.56,2.47,4.80,6.60,10.65,16.19,8.97,10.67,11.65,,
February,8.97,1.96,3.97,8.94,3.22,0.74,9.77,12.60,0.82,9.68,,
March,8.45,7.29,7.98,6.05,4.87,4.05,9.93,2.37,9.59,3.99,,
April,8.20,5.73,6.65,2.04,4.98,2.07,0.75,2.30,10.02,7.27,,
May,4.67,7.59,5.75,5.20,8.48,2.50,4.49,7.36,2.41,2.43,,
June,3.62,5.88,3.00,7.22,9.32,5.01,1.99,5.01,3.81,4.30,,
July,2.45,3.29,10.99,7.39,1.19,8.43,8.85,6.83,-999.00,10.00,,
August,13.59,11.21,6.62,10.56,2.49,10.28,7.51,6.87,1.67,6.69,,
September,8.05,5.30,7.85,10.92,4.25,9.07,13.08,14.21,0.83,8.29,,
October,2.46,7.16,4.58,18.78,4.28,4.23,9.20,9.13,10.38,12.39,,
November,16.44,5.50,7.89,14.83,5.98,2.80,4.85,4.31,13.60,20.68,,
December,11.07,7.75,2.55,9.18,12.89,10.91,8.88,7.95,21.29,13.14,,
Total,100.13,77.22,70.30,105.91,68.55,70.74,95.49,87.91,93.57,110.51,,
Calc annual,100.13,77.22,70.30,105.91,68.55,70.74,95.49,87.91,85.09,110.51,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.48,0.00,,
