"WEST BYFLEET (N. ZEALAND GOLF CLUB)",,,,,,,,,,,,
Grid ref,TQ030612,Long,-0.522670,Lat,51.340566,,,,,,,
Station no,235/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.25,1.97,0.90,1.28,3.11,4.15,1.69,2.42,2.09,2.26,,
February,5.96,0.86,1.22,2.65,1.56,0.44,3.47,2.49,0.08,2.13,,
March,3.60,3.03,0.43,2.24,1.05,0.70,1.15,1.48,2.42,1.42,,
April,2.45,1.54,2.21,0.35,0.26,1.14,0.30,0.92,2.08,0.65,,
May,2.70,1.94,1.67,2.61,3.42,0.28,1.54,2.88,0.59,1.57,,
June,0.97,2.08,1.57,3.71,2.80,2.02,1.10,3.65,0.43,1.72,,
July,1.32,0.55,4.22,2.79,0.25,4.41,2.75,1.44,2.41,2.75,,
August,3.37,3.82,1.59,2.96,1.27,4.09,2.56,3.50,2.22,3.14,,
September,2.28,3.67,2.06,2.46,1.47,2.64,3.16,3.37,0.06,2.31,,
October,0.56,3.18,3.11,2.13,3.39,2.08,1.77,2.66,2.71,6.11,,
November,5.75,3.17,1.35,4.51,1.58,0.74,2.74,2.01,2.64,3.87,,
December,1.93,2.53,0.78,2.53,2.48,3.54,2.16,2.71,3.99,2.53,,
Total,34.14,28.34,21.11,30.22,22.64,26.23,24.39,29.53,21.72,30.46,,
Calc annual,34.14,28.34,21.11,30.22,22.64,26.23,24.39,29.53,21.72,30.46,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
