"BOSTON (BLACK SLUICE, SKIRBECK)",,,,,,,,,,,,
Grid ref,TF325428,Long,-0.028580,Lat,52.966198,,,,,,,
Station no,2538,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.28,1.52,0.86,1.26,2.23,5.51,1.68,1.94,2.82,3.51,,
February,3.08,0.46,1.65,2.17,2.86,0.90,3.28,3.41,0.12,2.84,,
March,3.19,2.35,0.79,1.61,2.05,0.93,1.61,1.37,2.35,1.28,,
April,2.36,1.09,2.13,0.32,1.44,1.23,0.23,0.62,1.49,0.64,,
May,2.95,2.73,2.62,2.87,2.55,0.64,1.90,2.80,0.46,0.68,,
June,0.91,1.83,3.14,2.84,2.77,2.72,1.98,3.12,0.43,0.61,,
July,1.08,0.48,1.40,1.99,0.35,2.62,2.66,4.13,2.41,3.51,,
August,3.51,2.61,3.02,3.58,0.68,3.89,1.88,1.68,1.10,4.65,,
September,2.03,2.21,1.13,2.33,1.29,1.44,4.44,1.96,0.54,2.56,,
October,0.87,1.93,2.40,2.51,1.65,0.75,1.55,1.82,1.46,4.95,,
November,3.45,2.79,1.61,3.88,1.24,0.79,1.83,1.02,1.69,3.27,,
December,1.21,1.61,0.83,2.23,1.63,1.36,1.99,2.75,3.37,4.55,,
Total,27.92,21.61,21.58,27.59,20.74,22.78,25.03,26.62,18.24,33.05,,
Calc annual,27.92,21.61,21.58,27.59,20.74,22.78,25.03,26.62,18.24,33.05,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
