"KILLYLEAGH PRIMARY SCHOOL",,,,,,,,,,,,
Grid ref,IJ335253,Long,-5.956783,Lat,54.159474,,,,,,,
Station no,6199/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.43,3.31,0.83,2.33,3.72,3.64,3.82,3.68,1.89,3.32,,
February,3.21,0.42,1.10,3.57,3.70,0.93,2.53,3.56,0.86,2.59,,
March,2.50,1.11,0.27,4.08,1.33,1.23,3.65,1.65,3.16,2.57,,
April,1.51,3.36,1.65,0.49,2.06,0.60,0.97,0.96,2.09,3.07,,
May,3.11,1.21,2.26,3.60,-999.00,0.75,2.26,3.04,1.66,2.00,,
June,1.61,2.31,1.26,-999.00,3.95,2.65,0.61,-999.00,3.34,1.65,,
July,2.47,1.22,3.62,2.23,1.28,3.17,2.39,4.00,2.00,4.49,,
August,3.78,5.93,2.81,2.74,1.50,5.70,3.00,3.98,1.04,4.21,,
September,3.02,1.69,2.58,3.99,2.01,3.44,3.48,5.91,2.03,2.92,,
October,0.32,5.36,1.86,5.46,1.73,1.71,3.58,2.20,3.31,4.72,,
November,6.16,2.90,3.29,6.68,3.02,1.28,1.75,1.57,3.35,5.05,,
December,3.55,3.54,3.26,3.89,3.83,3.79,4.87,4.90,4.59,2.07,,
Total,34.67,32.36,24.79,40.95,30.04,28.89,32.91,40.11,29.32,38.66,,
Calc annual,34.67,32.36,24.79,39.06,28.13,28.89,32.91,35.45,29.32,38.66,,
Difference,0.00,0.00,0.00,1.89,1.91,-0.00,0.00,4.66,0.00,0.00,,
