"SANDY (MOGGERHANGER PARK)",,,,,,,,,,,,
Grid ref,TL134486,Long,-0.344979,Lat,52.124089,,,,,,,
Station no,1177,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.03,1.25,1.01,0.87,2.22,4.05,0.95,2.19,3.01,2.32,,
February,3.09,0.63,1.59,1.67,1.68,1.28,2.21,2.53,0.10,1.93,,
March,2.89,3.10,0.49,2.08,1.37,0.62,1.69,1.70,2.18,1.33,,
April,2.83,0.96,1.75,0.34,0.57,1.21,0.25,0.77,1.57,0.30,,
May,2.21,2.29,1.42,2.80,4.11,0.48,1.09,1.83,0.58,1.06,,
June,1.34,1.23,2.26,2.91,2.91,2.49,1.37,4.92,0.63,2.07,,
July,0.93,0.43,2.27,2.52,1.46,4.01,2.56,2.49,2.80,2.99,,
August,3.60,3.10,2.46,3.94,0.65,3.88,3.12,2.55,1.26,4.14,,
September,1.71,2.42,0.94,1.69,2.46,1.81,3.32,2.84,0.05,3.77,,
October,1.02,2.15,2.24,1.98,1.63,2.19,1.64,1.91,1.57,4.22,,
November,3.75,3.08,1.19,3.76,1.30,0.87,1.44,1.74,1.69,3.60,,
December,1.41,1.89,0.58,2.08,1.98,2.62,2.49,2.55,2.98,2.92,,
Total,26.81,22.53,18.20,26.64,22.34,25.51,22.13,28.02,18.42,30.65,,
Calc annual,26.81,22.53,18.20,26.64,22.34,25.51,22.13,28.02,18.42,30.65,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
