"CARRICKFERGUS (DORISLAND)",,,,,,,,,,,,
Grid ref,IJ386879,Long,-5.849502,Lat,54.720161,,,,,,,
Station no,6219,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.76,3.93,1.45,3.77,4.11,3.47,4.76,4.37,3.14,4.60,,
February,2.95,1.03,1.05,3.72,4.16,1.46,2.58,5.21,1.17,3.85,,
March,3.16,1.64,0.41,4.15,1.74,1.77,3.47,2.90,3.13,3.08,,
April,1.58,2.01,2.89,1.21,2.50,1.31,1.57,2.72,2.95,3.46,,
May,2.95,1.08,2.06,4.92,3.52,1.53,2.43,2.98,1.23,2.08,,
June,1.52,2.95,1.57,3.72,5.36,2.79,1.87,6.04,2.60,2.68,,
July,3.18,2.22,5.49,4.65,1.43,3.72,4.09,5.56,3.95,7.13,,
August,3.92,5.46,3.08,3.07,1.26,6.86,4.54,4.50,1.34,5.18,,
September,2.87,2.27,2.43,4.17,4.63,3.71,6.29,4.09,1.78,3.48,,
October,0.94,3.50,1.89,6.79,3.90,3.04,3.95,2.28,4.47,6.25,,
November,6.78,3.61,3.82,6.05,2.88,1.75,2.81,2.03,3.90,5.02,,
December,5.64,4.47,3.64,6.21,5.80,4.59,4.59,5.83,6.43,3.24,,
Total,39.25,34.17,29.78,52.43,41.29,36.00,42.95,48.51,36.09,50.05,,
Calc annual,39.25,34.17,29.78,52.43,41.29,36.00,42.95,48.51,36.09,50.05,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
