"WERRINGTON PARK",,,,,,,,,,,,
Grid ref,SX332872,Long,-4.361343,Lat,50.660524,,,,,,,
Station no,1663/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.26,5.67,1.07,2.48,6.40,5.43,4.26,5.72,6.76,4.70,,
February,5.73,1.80,2.06,4.56,3.54,0.32,7.40,5.15,0.40,5.15,,
March,5.45,3.52,1.15,3.67,1.63,1.89,4.21,1.48,5.72,3.03,,
April,2.69,3.40,3.22,0.64,1.52,0.92,0.18,0.98,3.88,4.53,,
May,3.62,3.01,3.48,4.23,3.59,0.92,2.17,3.51,1.23,2.23,,
June,1.06,1.39,2.26,3.60,2.56,2.40,3.50,4.47,1.56,1.80,,
July,1.49,1.23,3.54,3.60,0.84,4.44,4.35,3.09,2.36,5.32,,
August,4.50,6.85,2.13,4.69,0.28,3.88,2.88,6.49,1.99,3.64,,
September,4.23,4.29,4.38,5.10,2.18,5.95,4.39,7.06,0.56,6.63,,
October,1.73,6.09,3.82,4.26,3.29,2.65,4.04,3.67,7.39,9.52,,
November,7.94,4.21,3.59,8.69,4.91,2.39,2.60,3.84,11.58,7.96,,
December,5.34,4.08,1.67,4.41,8.11,7.63,3.77,5.83,10.75,7.21,,
Total,49.04,45.54,32.37,49.93,38.85,38.82,43.75,51.29,54.18,61.72,,
Calc annual,49.04,45.54,32.37,49.93,38.85,38.82,43.75,51.29,54.18,61.72,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
