"EXFORD (NEW RECTORY)",,,,,,,,,,,,
Grid ref,SS857384,Long,-3.634979,Lat,51.133432,,,,,,,
Station no,2116/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,5.99,7.46,6.80,,
February,,,,,,,,6.70,0.31,5.58,,
March,,,,,,,,1.95,4.66,2.98,,
April,,,,,,,,1.88,5.96,3.68,,
May,,,,,,,,5.90,1.59,2.44,,
June,,,,,,,,3.16,2.65,2.95,,
July,,,,,,,,4.04,4.35,8.04,,
August,,,,,,,,5.62,4.31,6.02,,
September,,,,,,,,8.58,0.39,4.92,,
October,,,,,,,,5.56,7.70,12.23,,
November,,,,,,,,3.35,8.75,10.45,,
December,,,,,,,4.68,6.18,14.38,11.83,,
Total,,,,,,,,58.91,62.51,77.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,4.68,58.91,62.51,77.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
