"CANTERBURY (LONDON ROAD)",,,,,,,,,,,,
Grid ref,TR141583,Long,1.068775,Lat,51.283585,,,,,,,
Station no,297,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.87,1.73,0.89,1.42,3.09,3.56,1.14,3.09,1.70,3.40,,
February,5.85,0.93,1.20,1.69,2.00,1.60,2.71,2.38,0.06,2.32,,
March,3.08,2.87,0.19,2.08,1.67,0.40,0.56,1.47,1.29,1.67,,
April,1.73,0.97,1.24,0.17,0.25,0.72,0.33,1.32,1.77,0.71,,
May,2.20,1.00,1.53,1.88,3.27,0.47,0.83,1.18,0.90,1.99,,
June,1.15,1.25,2.25,2.18,1.89,1.71,1.19,3.18,1.38,1.54,,
July,1.00,0.73,2.75,1.98,1.28,2.15,2.69,1.58,2.10,2.48,,
August,2.74,2.61,1.62,3.94,2.46,2.33,2.10,3.28,1.71,3.77,,
September,3.19,3.91,3.37,1.56,1.17,1.24,2.93,2.89,0.24,2.97,,
October,1.56,1.47,1.99,1.21,3.51,0.94,0.89,3.56,3.08,7.27,,
November,3.63,3.84,1.39,3.67,0.69,0.55,3.65,1.35,5.22,5.60,,
December,1.99,1.99,0.88,1.16,1.71,1.82,1.39,3.18,5.52,4.39,,
Total,30.99,23.30,19.30,22.94,22.99,17.49,20.41,28.46,24.97,38.11,,
Calc annual,30.99,23.30,19.30,22.94,22.99,17.49,20.41,28.46,24.97,38.11,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
