"GREENFIELD (SEWAGE DISPOSAL WORKS)",,,,,,,,,,,,
Grid ref,SD992043,Long,-2.013541,Lat,53.535351,,,,,,,
Station no,3095/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.00,5.05,2.03,4.86,3.28,5.99,4.28,4.34,4.34,6.03,,
February,3.55,1.64,2.35,3.24,2.18,1.85,3.92,6.67,0.54,2.48,,
March,4.89,2.75,2.59,2.77,2.54,1.53,3.98,2.69,2.39,1.11,,
April,2.94,4.09,3.31,0.97,2.39,3.42,0.89,1.42,4.39,2.54,,
May,2.36,2.49,3.19,4.19,4.52,1.85,1.34,4.34,1.31,2.24,,
June,1.38,3.00,3.56,4.29,3.32,3.39,2.70,6.02,2.94,2.05,,
July,4.90,3.92,7.67,6.86,1.39,7.64,5.01,5.17,3.70,9.24,,
August,6.90,3.18,5.73,6.49,0.74,10.76,6.16,5.25,0.53,7.46,,
September,2.97,3.75,2.96,5.27,2.93,3.83,7.20,5.10,0.29,4.09,,
October,1.11,4.67,2.52,7.71,2.46,3.43,5.78,3.98,3.94,5.69,,
November,8.39,3.05,4.41,7.48,2.00,1.77,3.10,2.46,6.28,6.80,,
December,6.05,3.95,1.76,7.34,5.03,4.85,5.18,4.41,6.71,4.80,,
Total,50.44,41.54,42.08,61.47,32.78,50.31,49.54,51.85,37.36,54.53,,
Calc annual,50.44,41.54,42.08,61.47,32.78,50.31,49.54,51.85,37.36,54.53,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
