"RIVER BRENIG (HAFOD-YR-OREN)",,,,,,,,,,,,
Grid ref,SH969556,Long,-3.540852,Lat,53.087625,,,,,,,
Station no,4303/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.42,7.13,1.64,4.83,4.24,5.17,5.33,4.75,5.66,8.89,,
February,4.79,1.98,2.93,4.53,4.59,0.99,4.32,7.46,0.74,5.38,,
March,6.67,1.48,2.40,3.59,2.37,2.26,2.80,1.48,2.71,2.20,,
April,3.86,2.67,3.66,1.50,2.00,2.87,0.78,1.34,6.67,2.39,,
May,4.91,3.04,2.88,5.52,6.03,1.05,2.09,3.74,2.86,1.75,,
June,1.61,2.18,3.33,3.19,3.52,2.33,1.09,4.02,1.95,1.53,,
July,2.00,1.27,4.46,4.97,0.72,5.35,6.07,4.81,4.46,4.20,,
August,6.23,3.75,3.55,6.54,1.59,8.27,8.32,4.31,1.12,4.06,,
September,4.75,7.22,5.59,4.67,2.29,4.32,7.36,6.97,0.35,6.98,,
October,2.18,7.85,2.26,8.75,4.37,3.45,4.84,4.50,5.92,5.95,,
November,8.46,4.12,5.12,9.04,2.29,2.15,3.27,2.96,6.11,10.25,,
December,7.52,5.97,1.85,5.12,4.81,4.95,3.91,3.70,8.61,5.91,,
Total,57.40,48.66,39.67,62.25,38.82,43.16,50.18,50.04,47.16,59.49,,
Calc annual,57.40,48.66,39.67,62.25,38.82,43.16,50.18,50.04,47.16,59.49,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,,
