"CARRIBBER RESERVOIR",,,,,,,,,,,,
Grid ref,NS972749,Long,-3.648032,Lat,55.956085,,,,,,,
Station no,5158,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.80,2.68,0.95,3.62,2.04,1.74,4.20,2.39,1.08,3.58,,
February,2.23,0.70,1.35,2.11,2.07,1.63,3.40,2.28,0.88,2.74,,
March,3.64,1.90,0.50,1.26,1.42,1.59,2.35,2.14,1.08,1.81,,
April,2.40,0.86,2.52,2.10,0.68,0.55,1.87,1.56,2.01,1.86,,
May,2.43,1.58,2.47,4.15,2.45,1.32,2.35,2.94,1.02,1.98,,
June,2.11,2.61,1.21,2.21,1.05,3.23,1.74,3.98,2.28,1.41,,
July,6.02,2.65,6.18,2.96,0.89,4.30,3.48,6.42,3.48,2.74,,
August,4.22,3.50,2.80,5.17,1.14,5.83,3.04,3.90,0.72,3.23,,
September,2.00,2.41,3.18,3.47,2.33,3.90,2.14,4.10,0.78,1.88,,
October,0.56,2.46,1.54,7.50,1.72,1.96,2.85,2.08,3.12,3.91,,
November,5.45,2.10,4.83,4.00,1.32,0.68,2.39,1.05,6.98,3.28,,
December,4.08,2.38,3.82,4.62,4.68,3.58,4.29,5.38,4.55,4.16,,
Total,38.94,25.83,31.35,43.17,21.79,30.31,34.10,38.22,27.98,32.58,,
Calc annual,38.94,25.83,31.35,43.17,21.79,30.31,34.10,38.22,27.98,32.58,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
