"SELLING (PERRY COTTAGE)",,,,,,,,,,,,
Grid ref,TR041556,Long,0.924041,Lat,51.263006,,,,,,,
Station no,309,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.43,2.42,1.30,2.35,,4.72,2.12,4.42,,,,
February,6.74,0.63,1.51,2.57,,1.71,3.71,3.05,,,,
March,3.22,2.62,0.26,2.96,,0.49,1.14,1.45,,,,
April,1.84,0.37,2.30,0.22,,0.80,0.41,1.93,,,,
May,2.92,0.88,1.67,2.07,,0.83,1.43,1.87,,,,
June,1.76,0.62,2.66,3.32,,3.03,1.11,4.59,,,,
July,1.31,0.67,3.21,2.66,,2.74,3.14,2.32,,,,
August,4.04,3.30,1.78,3.54,,3.59,2.22,4.72,,,,
September,3.96,5.73,3.63,1.38,,2.26,3.18,3.30,,,,
October,2.06,2.82,3.06,2.23,,1.35,1.10,5.93,,,,
November,4.93,4.02,1.50,5.71,1.13,0.76,4.07,1.13,,,,
December,2.80,3.10,0.83,1.63,2.10,4.28,2.06,4.14,,,,
Total,39.01,27.18,23.71,30.64,,26.56,25.69,38.85,,,,
Calc annual,39.01,27.18,23.71,30.64,3.23,26.56,25.69,38.85,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,NaN,0.00,0.00,0.00,NaN,NaN,,
