"BRIDPORT (ALLINGTON PARK)",,,,,,,,,,,,
Grid ref,SY459933,Long,-2.768007,Lat,50.736779,,,,,,,
Station no,1593/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.81,1.10,2.04,,,,,,,,
February,,1.05,2.38,4.25,,,,,,,,
March,,4.22,0.61,4.53,,,,,,,,
April,,2.29,3.62,0.29,,,,,,,,
May,,3.22,3.37,1.90,,,,,,,,
June,,1.60,2.54,3.77,,,,,,,,
July,,2.09,3.40,3.33,,,,,,,,
August,,3.72,2.36,3.74,,,,,,,,
September,,4.99,3.92,4.50,,,,,,,,
October,,5.45,3.32,2.97,,,,,,,,
November,,5.05,2.04,7.10,,,,,,,,
December,,3.35,0.84,3.51,,,,,,,,
Total,,39.84,29.50,41.93,,,,,,,,
Calc annual,0.00,39.84,29.50,41.93,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
