"BELLEEK",,,,,,,,,,,,
Grid ref,IG941589,Long,-8.091785,Lat,54.478657,,,,,,,
Station no,6188,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.95,7.35,2.34,3.44,3.36,3.89,6.49,5.39,3.08,3.18,,
February,4.72,2.68,1.56,4.93,4.56,3.18,3.06,4.76,1.33,4.08,,
March,3.91,2.06,0.94,4.93,0.95,2.23,3.81,2.50,2.81,2.02,,
April,2.84,1.59,2.79,1.23,3.64,1.72,2.37,2.29,3.84,2.51,,
May,1.42,3.10,2.65,2.77,3.61,1.97,1.65,3.27,1.42,3.12,,
June,2.71,3.48,1.68,3.05,4.85,4.57,2.16,4.91,3.50,4.04,,
July,4.61,3.01,5.99,7.88,1.81,5.66,5.77,4.92,4.15,7.41,,
August,4.89,4.01,4.32,3.46,0.76,8.02,5.26,5.14,2.62,6.85,,
September,3.14,2.77,6.25,6.79,4.54,4.90,7.16,3.64,2.07,3.97,,
October,2.46,4.07,3.13,6.90,4.38,4.18,4.96,3.40,7.85,3.32,,
November,6.52,2.91,5.41,6.49,2.62,3.32,1.78,3.67,6.27,4.44,,
December,6.66,6.14,3.64,4.51,5.18,6.06,6.42,6.13,5.76,5.64,,
Total,48.83,43.17,40.70,56.38,40.26,49.70,50.89,50.02,44.70,50.58,,
Calc annual,48.83,43.17,40.70,56.38,40.26,49.70,50.89,50.02,44.70,50.58,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
