"INVERGORDON (ROSSKEEN)",,,,,,,,,,,,
Grid ref,NH683695,Long,-4.211218,Lat,57.695971,,,,,,,
Station no,5775/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.00,,
February,,,,,,,,,,1.70,,
March,,,,,,,,,,0.47,,
April,,,,,,,,,,1.60,,
May,,,,,,,,,,0.56,,
June,,,,,,,,,,2.40,,
July,,,,,,,,,,2.11,,
August,,,,,,,,,1.05,5.70,,
September,,,,,,,,,0.61,2.56,,
October,,,,,,,,,3.13,2.89,,
November,,,,,,,,,3.72,1.96,,
December,,,,,,,,,1.78,2.26,,
Total,,,,,,,,,,28.21,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.29,28.21,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
