"CARLUKE (COLDSTREAM RES.)",,,,,,,,,,,,
Grid ref,NS875498,Long,-3.792898,Lat,55.728500,,,,,,,
Station no,5168/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.50,3.34,1.23,3.62,2.03,1.80,4.55,2.75,1.17,3.07,,
February,2.94,1.04,1.36,2.30,1.42,1.43,2.96,2.38,1.23,3.12,,
March,2.67,1.44,0.62,1.52,1.70,2.11,2.91,1.24,1.58,1.97,,
April,2.29,1.81,2.16,1.20,0.97,0.77,1.51,1.24,2.31,2.33,,
May,1.98,1.30,2.25,4.13,2.45,1.22,2.17,2.94,0.73,1.85,,
June,2.39,2.10,0.98,2.25,1.29,2.84,2.30,2.94,3.38,1.52,,
July,3.73,3.55,4.92,3.12,1.75,5.11,3.47,6.07,3.89,2.80,,
August,4.32,4.67,2.78,4.46,2.00,5.36,4.76,4.20,1.05,3.11,,
September,2.20,2.26,2.40,4.19,2.85,4.22,2.65,4.36,0.89,2.45,,
October,1.02,2.58,2.04,7.80,2.62,2.60,3.50,2.22,3.59,2.96,,
November,4.50,2.60,4.88,4.73,1.31,1.20,1.53,1.55,5.26,3.66,,
December,3.66,2.74,4.04,3.93,5.13,3.57,3.21,4.50,3.85,4.09,,
Total,35.20,29.43,29.66,43.25,25.52,32.23,35.52,36.39,28.93,32.93,,
Calc annual,35.20,29.43,29.66,43.25,25.52,32.23,35.52,36.39,28.93,32.93,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
