"ESKDALEMUIR (BEACKESKHEAD)",,,,,,,,,,,,
Grid ref,NY205973,Long,-3.252551,Lat,55.263424,,,,,,,
Station no,5040/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.20,6.00,3.15,5.56,5.27,3.80,9.30,5.55,4.29,7.18,,
February,4.32,1.89,1.78,3.90,2.04,1.63,4.23,5.22,2.12,8.27,,
March,4.32,3.33,0.86,3.86,2.36,2.42,5.27,2.38,4.24,2.25,,
April,4.89,3.50,4.30,1.58,3.34,1.31,3.27,2.62,4.11,6.44,,
May,1.68,2.71,3.40,5.79,3.93,3.75,2.30,4.61,1.80,3.13,,
June,2.45,5.28,1.65,6.90,3.53,2.51,1.97,3.26,3.91,3.61,,
July,4.82,3.50,11.70,5.38,3.32,7.96,4.78,7.62,5.28,5.56,,
August,7.51,5.04,4.75,5.71,1.83,7.72,6.35,6.84,1.25,5.57,,
September,6.86,2.19,6.13,8.13,4.83,4.53,4.92,6.61,2.07,4.15,,
October,0.70,4.87,3.85,12.23,3.25,4.71,6.94,4.42,5.62,3.38,,
November,10.81,3.93,7.86,10.70,2.46,2.52,2.20,2.35,9.93,7.73,,
December,7.41,5.30,4.27,7.42,6.83,6.14,5.30,5.23,8.85,5.97,,
Total,62.97,47.54,53.70,77.16,42.99,49.00,56.83,56.71,53.47,63.24,,
Calc annual,62.97,47.54,53.70,77.16,42.99,49.00,56.83,56.71,53.47,63.24,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
