"LADY CLOUGH MOOR NO. 41B",,,,,,,,,,,,
Grid ref,SK112926,Long,-1.832902,Lat,53.430071,,,,,,,
Station no,2698,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.07,6.32,4.75,7.06,4.50,8.50,4.08,7.34,5.74,9.12,,
February,9.38,5.72,3.23,4.74,2.47,3.06,4.87,9.85,0.98,4.28,,
March,8.92,4.26,4.48,4.97,4.85,2.57,4.57,4.05,3.14,2.43,,
April,3.41,4.28,4.12,1.38,2.93,3.07,1.46,2.17,4.78,3.64,,
May,3.37,3.08,2.51,4.28,5.96,1.72,1.90,4.98,2.94,2.73,,
June,2.06,4.26,4.91,4.09,4.71,5.62,1.89,6.87,2.77,2.03,,
July,4.53,3.89,8.07,8.63,1.12,9.69,6.92,7.14,4.93,10.22,,
August,7.68,3.79,5.82,8.86,0.63,12.90,8.93,4.62,0.79,6.94,,
September,3.64,7.18,3.38,6.14,3.46,5.17,11.47,6.56,0.26,5.47,,
October,1.47,7.78,2.98,8.78,4.19,3.85,6.89,5.78,4.46,8.53,,
November,12.67,4.53,4.24,9.56,3.46,2.47,3.59,2.42,6.93,8.23,,
December,8.14,5.56,3.32,11.04,6.78,7.16,7.34,6.01,9.34,5.74,,
Total,74.34,60.65,51.81,79.53,45.06,65.78,63.91,67.79,47.06,69.36,,
Calc annual,74.34,60.65,51.81,79.53,45.06,65.78,63.91,67.79,47.06,69.36,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
