"SWAFFHAM (BRANDON ROAD)",,,,,,,,,,,,
Grid ref,TF821064,Long,0.688924,Lat,52.624813,,,,,,,
Station no,1466/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.55,1.23,1.82,,,,,,,,
February,,1.21,1.63,2.70,,,,,,,,
March,,2.89,1.34,2.65,,,,,,,,
April,,1.87,2.55,0.45,,,,,,,,
May,,2.25,2.52,2.79,,,,,,,,
June,,1.35,4.08,1.95,,,,,,,,
July,,0.99,3.36,3.06,,,,,,,,
August,,3.35,2.63,4.47,,,,,,,,
September,,2.47,1.48,2.46,,,,,,,,
October,,2.47,2.51,2.61,,,,,,,,
November,,4.11,1.62,4.46,,,,,,,,
December,,2.15,1.16,2.19,,,,,,,,
Total,,27.66,26.11,31.61,,,,,,,,
Calc annual,0.00,27.66,26.11,31.61,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
