"OTTERY ST. MARY (BROAD OAK)",,,,,,,,,,,,
Grid ref,SY071928,Long,-3.317586,Lat,50.727366,,,,,,,
Station no,1815,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.31,2.91,0.65,1.95,5.07,3.76,3.02,3.24,4.80,4.07,,
February,5.65,0.73,1.66,3.12,2.72,0.20,5.63,3.91,0.41,4.93,,
March,4.52,2.96,0.65,3.94,1.81,1.36,3.82,1.74,4.71,2.89,,
April,1.56,3.24,3.15,0.12,1.54,0.93,0.12,0.65,3.31,3.62,,
May,2.66,3.29,2.93,1.94,4.01,0.87,2.61,3.25,1.19,2.01,,
June,1.08,1.53,2.64,4.39,3.66,1.78,1.87,3.95,1.54,1.11,,
July,1.36,1.14,2.84,2.95,2.76,2.67,3.42,2.43,2.63,3.96,,
August,5.02,4.78,2.22,3.48,0.22,4.11,3.27,3.91,2.32,4.09,,
September,4.68,2.81,3.43,2.95,1.21,6.50,2.78,4.66,0.22,5.49,,
October,1.09,6.10,3.21,2.90,2.35,1.87,2.16,2.65,3.15,12.05,,
November,6.75,4.07,2.32,7.53,5.12,1.47,2.14,3.30,7.26,4.83,,
December,2.80,3.01,1.18,3.73,5.07,6.56,3.09,5.00,7.57,3.89,,
Total,40.48,36.57,26.88,39.00,35.54,32.08,33.93,38.69,39.11,52.94,,
Calc annual,40.48,36.57,26.88,39.00,35.54,32.08,33.93,38.69,39.11,52.94,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
