"GLENDOCHART (DUN SAORACH)",,,,,,,,,,,,
Grid ref,NN453274,Long,-4.509111,Lat,56.413408,,,,,,,
Station no,5555/15,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.75,7.79,,
February,,,,,,,,,4.00,7.20,,
March,,,,,,,,,10.30,4.78,,
April,,,,,,,,,7.75,9.80,,
May,,,,,,,,,3.00,4.90,,
June,,,,,,,,,5.15,3.91,,
July,,,,,,,,,6.95,5.53,,
August,,,,,,,,,5.10,5.50,,
September,,,,,,,,,1.55,4.60,,
October,,,,,,,,,9.20,7.00,,
November,,,,,,,,,13.50,12.23,,
December,,,,,,,,11.70,13.83,10.40,,
Total,,,,,,,,,84.08,83.64,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.70,84.08,83.64,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
