"CASTLE DOUGLAS (CORBIETON)",,,,,,,,,,,,
Grid ref,NX795657,Long,-3.883987,Lat,54.971300,,,,,,,
Station no,5023/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.28,4.26,1.75,4.46,3.55,2.94,5.37,5.91,1.95,4.43,,
February,3.43,0.75,1.33,4.60,2.07,0.63,4.20,3.28,1.29,5.86,,
March,3.73,3.14,0.76,3.48,2.01,2.31,3.02,1.15,2.99,1.77,,
April,2.19,3.10,3.40,1.39,2.08,1.36,1.97,1.50,2.92,5.45,,
May,2.37,3.29,1.76,4.58,4.22,1.88,3.10,3.67,0.91,1.76,,
June,1.25,2.72,1.87,3.79,3.20,2.70,1.11,3.81,3.15,2.43,,
July,2.53,3.26,5.98,4.01,2.19,6.28,4.40,3.91,2.64,4.59,,
August,7.67,5.21,2.72,4.87,2.03,8.76,3.10,4.48,0.63,4.89,,
September,5.83,1.91,5.60,6.07,2.78,5.12,4.44,4.97,1.81,4.28,,
October,0.47,6.00,3.20,9.20,3.00,3.17,4.68,4.14,5.07,4.93,,
November,9.36,2.54,6.27,10.83,3.21,1.54,2.79,2.09,7.96,8.46,,
December,8.12,4.02,3.79,5.06,6.19,5.28,5.08,4.05,9.07,3.69,,
Total,53.23,40.20,38.43,62.34,36.53,41.97,43.26,42.96,40.39,52.54,,
Calc annual,53.23,40.20,38.43,62.34,36.53,41.97,43.26,42.96,40.39,52.54,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
