"NUNEATON (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SP361923,Long,-1.469317,Lat,52.527382,,,,,,,
Station no,2487/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.49,2.38,0.98,0.99,2.11,-999.00,1.51,2.74,3.16,4.52,,
February,3.05,0.61,1.53,2.74,2.37,0.97,2.74,3.55,0.04,2.03,,
March,3.89,2.89,1.57,2.61,3.05,0.89,2.29,1.82,1.71,1.39,,
April,2.03,2.47,2.05,0.67,1.01,0.81,0.21,1.07,3.02,1.04,,
May,3.20,2.93,1.57,2.47,4.12,0.76,1.23,1.93,0.36,1.20,,
June,1.76,1.84,2.49,2.44,2.77,3.24,1.20,5.08,0.71,4.66,,
July,1.25,0.41,2.90,2.87,1.50,2.24,3.34,5.18,1.04,2.83,,
August,5.23,4.31,2.12,3.99,0.48,5.10,3.49,2.09,1.10,2.58,,
September,1.63,1.55,1.60,2.11,1.81,1.79,4.76,2.77,0.10,3.74,,
October,0.81,3.63,2.91,3.63,1.66,1.43,1.20,2.39,2.57,5.02,,
November,5.53,2.42,1.14,5.61,2.37,0.74,1.86,1.93,2.87,3.36,,
December,2.15,3.22,0.93,2.20,2.02,3.01,2.50,2.55,3.99,3.08,,
Total,33.02,28.66,21.79,32.33,25.27,24.83,26.33,33.10,20.67,35.45,,
Calc annual,33.02,28.66,21.79,32.33,25.27,20.98,26.33,33.10,20.67,35.45,,
Difference,0.00,0.00,-0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,,
