"ST ALBANS (HIGHFIELD HALL)",,,,,,,,,,,,
Grid ref,TL180055,Long,-0.292584,Lat,51.735797,,,,,,,
Station no,922/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.42,2.69,,,,
February,,,,,,,3.65,2.36,,,,
March,,,,,,,1.54,1.46,,,,
April,,,,,,,0.23,1.29,,,,
May,,,,,,,1.19,2.89,,,,
June,,,,,,,1.81,4.25,,,,
July,,,,,,,2.97,1.72,,,,
August,,,,,,,2.17,2.90,,,,
September,,,,,,,2.58,3.69,,,,
October,,,,,,,1.84,2.36,,,,
November,,,,,,,2.25,2.17,,,,
December,,,,,,,2.53,3.42,,,,
Total,,,,,,,24.18,31.20,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,24.18,31.20,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,NaN,NaN,,
