"PENTLAND HILLS (BONALY RESERVOIR)",,,,,,,,,,,,
Grid ref,NT207654,Long,-3.268982,Lat,55.875209,,,,,,,
Station no,5131,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.95,1.30,1.10,3.75,2.00,1.90,5.40,2.60,1.85,3.50,,
February,2.30,0.50,1.30,2.60,1.50,1.36,2.12,2.25,1.12,3.12,,
March,3.00,1.20,0.45,1.90,1.80,2.25,2.50,2.12,0.40,1.40,,
April,3.60,1.80,3.12,1.10,1.40,1.00,1.25,2.00,2.18,1.60,,
May,2.90,1.10,2.50,4.60,3.12,1.60,2.06,2.50,0.90,1.10,,
June,2.20,3.40,1.90,2.75,1.00,3.70,1.58,4.50,2.00,1.62,,
July,3.25,3.00,5.10,2.60,2.50,6.45,5.50,7.00,3.80,3.40,,
August,6.65,3.80,2.75,5.80,1.50,8.00,4.50,3.80,0.60,4.75,,
September,1.30,3.00,3.85,5.60,2.25,4.75,2.50,3.75,0.65,2.25,,
October,0.50,2.25,1.25,7.00,2.50,2.75,3.25,2.00,3.12,3.50,,
November,3.60,2.75,5.50,4.30,2.00,1.56,2.12,1.25,5.75,3.25,,
December,1.80,3.25,3.60,4.80,4.75,4.25,4.00,4.50,3.75,5.12,,
Total,34.05,27.35,32.42,46.80,26.32,39.57,36.78,38.27,26.12,34.61,,
Calc annual,34.05,27.35,32.42,46.80,26.32,39.57,36.78,38.27,26.12,34.61,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
