"ASHFORD (BELMORE)",,,,,,,,,,,,
Grid ref,TR007433,Long,0.868499,Lat,51.153751,,,,,,,
Station no,278/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.38,2.61,1.54,1.53,3.94,4.73,1.95,3.88,2.50,3.28,,
February,6.19,1.30,2.01,2.30,1.97,1.54,4.71,3.39,0.03,2.11,,
March,3.59,3.60,0.22,3.27,1.86,0.64,1.17,1.60,1.84,1.69,,
April,1.76,1.37,1.38,0.31,0.28,0.75,0.45,1.48,2.49,-999.00,,
May,2.15,1.22,1.46,1.59,4.10,0.44,1.28,2.13,0.78,1.74,,
June,1.50,1.25,2.90,3.02,1.91,2.43,0.92,4.70,2.19,1.07,,
July,1.31,0.58,2.46,3.71,1.02,2.06,2.90,1.71,2.36,2.24,,
August,4.34,3.43,2.07,3.42,2.21,3.30,2.69,4.38,1.11,4.84,,
September,3.68,4.44,3.89,2.12,1.55,2.25,3.71,3.59,0.15,2.58,,
October,2.22,2.73,2.99,2.12,5.77,1.18,1.34,4.73,2.96,7.32,,
November,4.96,3.68,1.76,5.56,1.37,0.90,4.29,2.17,4.21,6.11,,
December,3.07,3.13,1.04,1.74,3.00,3.21,1.91,4.22,6.58,4.24,,
Total,38.15,29.34,23.72,30.69,28.98,23.43,27.32,37.98,27.20,37.98,,
Calc annual,38.15,29.34,23.72,30.69,28.98,23.43,27.32,37.98,27.20,37.22,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.76,,
