"LLANNON RESERVOIR",,,,,,,,,,,,
Grid ref,SN552102,Long,-4.100024,Lat,51.771692,,,,,,,
Station no,4111,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,7.64,2.79,4.36,5.23,8.13,7.68,5.57,6.90,8.33,,
February,,1.20,4.04,7.45,3.30,0.46,5.81,7.28,1.14,6.35,,
March,,5.90,3.92,5.92,5.44,2.90,8.74,1.52,5.99,2.06,,
April,,5.01,3.58,1.81,5.06,1.35,0.90,1.61,5.71,4.74,,
May,,5.02,5.01,4.99,5.09,2.32,3.39,4.83,0.89,2.99,,
June,,4.87,3.68,6.89,7.28,3.52,2.21,6.59,3.36,3.20,,
July,,2.06,9.17,5.70,1.62,3.54,6.09,6.41,4.61,7.66,,
August,,6.64,5.79,7.34,1.12,6.68,5.29,5.95,2.63,8.82,,
September,,2.35,8.19,9.09,2.96,7.11,12.20,12.93,0.49,5.99,,
October,,5.66,4.49,13.45,3.20,2.62,6.91,6.95,7.46,8.85,,
November,,5.16,8.99,13.59,4.34,1.94,2.73,4.93,11.78,14.89,,
December,,5.29,2.56,6.64,7.90,6.13,5.09,6.13,12.17,7.62,,
Total,,56.80,62.21,87.23,52.54,46.70,66.94,70.70,63.13,81.50,,
Calc annual,0.00,56.80,62.21,87.23,52.54,46.70,67.04,70.70,63.13,81.50,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,-0.10,0.00,0.00,0.00,,
