"CAMPBELTOWN",,,,,,,,,,,,
Grid ref,NR719203,Long,-5.606153,Lat,55.423355,,,,,,,
Station no,5417,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.68,9.86,2.49,6.75,3.86,5.22,5.98,6.48,2.97,,,
February,3.03,2.12,2.46,6.77,6.75,1.20,4.05,4.66,1.39,,,
March,4.18,3.63,0.86,6.20,1.90,1.93,5.09,1.04,4.67,,,
April,2.80,2.14,1.16,1.35,3.57,1.01,2.10,1.53,3.08,,,
May,2.05,1.75,2.79,3.09,5.00,2.53,3.52,2.80,1.32,,,
June,2.19,3.85,1.44,4.16,4.75,3.39,1.71,3.88,2.60,,,
July,3.61,3.94,7.07,4.08,0.94,4.60,7.24,4.08,4.82,,,
August,3.84,8.24,3.82,5.93,1.14,6.62,4.24,5.02,0.73,,,
September,4.05,4.73,6.39,8.29,5.06,4.70,5.22,4.53,2.31,,,
October,1.67,5.96,3.09,9.18,3.70,2.71,4.50,4.23,-999.00,,,
November,14.22,3.06,8.83,11.60,4.39,2.45,2.40,3.63,-999.00,,,
December,9.43,4.82,4.34,7.62,5.89,4.81,6.51,7.12,-999.00,,,
Total,57.75,54.10,44.74,75.02,46.95,41.17,52.56,49.00,,,,
Calc annual,57.75,54.10,44.74,75.02,46.95,41.17,52.56,49.00,23.89,0.00,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
