"HALEWOOD (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SJ461854,Long,-2.811406,Lat,53.362710,,,,,,,
Station no,2810/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.59,3.43,1.41,2.60,2.30,4.28,1.74,2.89,3.40,4.68,,
February,2.16,1.38,1.46,3.05,1.85,0.37,1.95,4.27,0.23,1.74,,
March,4.92,2.11,1.03,2.43,1.82,1.29,2.58,1.65,1.24,1.55,,
April,1.83,2.21,2.47,0.88,1.89,3.26,0.66,0.92,3.14,1.42,,
May,3.05,2.36,2.19,2.66,2.53,0.85,1.39,3.36,1.99,2.52,,
June,1.22,2.24,1.64,2.72,3.58,2.48,1.73,5.20,2.28,1.90,,
July,1.83,1.55,3.45,4.32,0.58,5.03,4.47,4.47,3.30,4.02,,
August,4.68,1.57,3.34,4.67,1.25,9.83,3.63,3.46,1.02,4.01,,
September,3.05,4.16,3.29,3.12,2.79,2.41,6.75,4.40,0.14,3.64,,
October,1.14,4.02,1.76,5.95,2.14,2.50,3.40,3.43,2.84,3.74,,
November,7.69,3.16,2.75,4.88,1.65,1.60,1.28,1.82,4.67,5.65,,
December,5.15,3.28,1.53,4.22,3.55,2.11,3.49,4.48,4.81,3.48,,
Total,39.31,31.47,26.32,41.50,25.93,36.01,33.07,40.35,29.06,38.35,,
Calc annual,39.31,31.47,26.32,41.50,25.93,36.01,33.07,40.35,29.06,38.35,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
