"EXETER (COUNTESS WEIR)",,,,,,,,,,,,
Grid ref,SX951902,Long,-3.486806,Lat,50.701948,,,,,,,
Station no,1768/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.28,,,,,,
February,,,,,,0.23,,,,,,
March,,,,,,1.04,,,,,,
April,,,,,,0.80,,,,,,
May,,,,,,0.79,,,,,,
June,,,,,,1.08,,,,,,
July,,,,,,2.95,,,,,,
August,,,,,,2.59,,,,,,
September,,,,,,5.62,,,,,,
October,,,,,,1.96,,,,,,
November,,,,,,1.35,,,,,,
December,,,,,,5.30,,,,,,
Total,,,,,,26.99,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,26.99,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,NaN,NaN,NaN,NaN,,
