"BUCKINGHAM (FOXCOTE P.S)",,,,,,,,,,,,
Grid ref,SP713357,Long,-0.962484,Lat,52.015155,,,,,,,
Station no,1022/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.10,0.94,2.27,4.02,1.63,2.94,4.07,3.40,,
February,,,1.49,2.21,1.22,0.19,3.32,2.59,0.02,2.55,,
March,,,0.87,2.34,1.62,0.82,1.72,1.64,3.29,0.98,,
April,,,1.94,0.41,0.69,1.13,0.33,0.88,2.03,0.55,,
May,,,1.89,2.75,4.67,0.36,1.97,1.97,0.61,1.76,,
June,,,1.72,2.78,2.32,2.99,1.54,3.96,1.24,2.34,,
July,,,3.07,2.67,0.12,3.76,3.49,2.76,2.09,3.33,,
August,,,3.02,3.72,0.39,3.40,2.71,2.49,0.85,4.16,,
September,,,1.58,2.42,1.56,2.26,3.97,2.32,0.12,3.26,,
October,,,2.24,2.57,1.46,1.94,1.91,2.51,2.39,5.23,,
November,,3.11,1.74,4.52,1.75,0.75,1.51,2.13,1.96,3.84,,
December,,2.68,0.63,2.01,1.89,2.83,2.64,2.54,4.40,3.28,,
Total,,,21.29,29.34,19.96,24.45,26.74,28.73,23.07,34.68,,
Calc annual,0.00,5.79,21.29,29.34,19.96,24.45,26.74,28.73,23.07,34.68,,
Difference,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
