"STANSTED (BURTON BOWER)",,,,,,,,,,,,
Grid ref,TL526241,Long,0.216305,Lat,51.894562,,,,,,,
Station no,1239/9/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.66,2.00,1.25,1.18,2.44,3.52,1.22,2.15,2.39,2.20,,
February,4.30,0.76,2.10,2.06,1.62,0.64,2.59,2.75,0.12,1.67,,
March,3.25,2.68,0.36,2.27,1.48,0.71,1.12,1.06,2.25,1.03,,
April,2.78,1.23,2.55,0.21,0.34,1.20,0.18,1.24,2.31,0.54,,
May,2.51,1.03,1.58,1.79,4.08,0.52,0.58,2.49,0.76,1.34,,
June,1.08,2.12,1.97,1.68,2.58,1.81,1.86,4.94,0.68,1.50,,
July,0.91,0.66,3.25,2.59,0.80,3.53,2.80,2.94,1.55,2.56,,
August,4.66,6.12,2.05,3.08,1.09,4.97,2.17,3.16,0.69,2.77,,
September,2.79,2.82,1.42,1.47,2.00,1.61,2.49,3.49,0.06,3.95,,
October,0.84,2.37,2.88,2.35,4.20,1.82,2.11,2.45,2.00,6.18,,
November,4.08,3.86,1.12,3.57,0.75,1.05,2.19,2.01,2.52,3.25,,
December,1.68,2.53,0.72,2.05,1.83,2.91,2.07,2.79,4.31,3.08,,
Total,31.54,28.18,21.25,24.30,23.21,24.29,21.38,31.47,19.64,30.07,,
Calc annual,31.54,28.18,21.25,24.30,23.21,24.29,21.38,31.47,19.64,30.07,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
