"KIRRIEMUIR",,,,,,,,,,,,
Grid ref,NO264587,Long,-3.203975,Lat,56.714163,,,,,,,
Station no,5579,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.50,2.25,1.10,2.80,1.90,3.30,4.20,4.90,1.80,4.90,,
February,5.40,1.40,1.50,4.90,2.00,1.30,3.70,3.00,0.50,6.40,,
March,2.00,4.50,0.60,4.50,1.70,2.30,3.20,4.60,3.40,2.60,,
April,2.50,1.60,2.20,1.10,0.80,0.90,1.30,1.30,3.50,4.20,,
May,1.70,4.60,2.30,5.70,2.20,0.90,2.30,2.90,1.00,2.60,,
June,2.70,2.30,3.30,2.50,2.00,3.30,1.70,3.60,3.25,3.00,,
July,2.80,3.20,3.70,3.00,0.70,4.80,6.80,3.90,3.90,3.45,,
August,4.10,2.30,2.30,3.10,0.90,5.55,5.45,3.90,1.30,7.60,,
September,3.10,1.10,4.70,3.90,1.80,5.00,2.70,4.50,1.30,3.04,,
October,1.10,4.10,2.40,6.50,2.40,2.00,2.00,3.15,3.30,8.90,,
November,10.70,2.20,3.60,6.60,2.60,1.00,1.40,1.20,6.50,5.30,,
December,3.50,2.30,4.20,3.80,6.80,5.50,5.30,6.30,9.50,2.40,,
Total,44.10,31.85,31.90,48.40,25.80,35.85,40.05,43.25,39.25,54.39,,
Calc annual,44.10,31.85,31.90,48.40,25.80,35.85,40.05,43.25,39.25,54.39,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
