"AUCHENCAIRN (DAFFIN COTTAGE)",,,,,,,,,,,,
Grid ref,NX798516,Long,-3.873410,Lat,54.844733,,,,,,,
Station no,5020/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.18,5.13,3.05,4.33,4.24,4.00,5.66,5.57,1.92,5.41,,
February,2.99,1.02,1.34,5.68,1.89,1.15,3.91,4.39,1.72,4.96,,
March,3.61,3.12,0.98,3.43,2.81,2.85,4.28,1.47,3.05,2.47,,
April,2.44,2.53,3.33,2.08,3.31,1.21,2.42,1.16,3.50,4.99,,
May,2.28,3.25,2.62,3.37,4.41,2.47,4.27,3.84,1.02,2.41,,
June,1.13,2.45,1.23,3.98,4.13,2.29,2.32,3.94,3.93,2.43,,
July,3.49,3.22,5.74,5.00,3.84,6.99,3.48,4.38,3.65,5.66,,
August,6.38,6.29,3.91,5.79,2.05,10.22,3.60,5.24,0.83,4.79,,
September,5.47,2.74,5.61,6.60,3.25,5.22,4.62,5.04,2.42,4.93,,
October,0.38,5.15,3.92,10.11,3.10,3.94,5.11,4.91,5.08,4.58,,
November,8.91,2.98,8.44,11.80,2.93,1.88,3.39,3.64,9.71,7.62,,
December,8.01,5.00,3.78,5.80,8.23,5.56,4.67,5.82,8.58,4.75,,
Total,50.27,42.88,43.95,67.97,44.19,47.78,47.73,49.40,45.41,55.00,,
Calc annual,50.27,42.88,43.95,67.97,44.19,47.78,47.73,49.40,45.41,55.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
