"HAYFIELD (UPPER MOOR)",,,,,,,,,,,,
Grid ref,SK067879,Long,-1.900727,Lat,53.387900,,,,,,,
Station no,2643/9/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.76,5.35,3.05,5.46,4.80,7.50,3.00,5.90,4.65,10.50,,
February,5.48,3.70,3.75,4.40,3.60,2.92,3.55,7.50,0.70,4.20,,
March,6.80,2.95,3.50,3.70,4.20,2.20,3.67,2.60,2.55,2.00,,
April,3.10,4.35,3.40,0.90,2.40,2.09,0.65,1.30,3.30,2.50,,
May,2.46,3.00,2.65,4.10,5.60,1.55,1.30,4.40,0.80,2.30,,
June,1.90,3.05,3.80,3.65,3.50,3.40,1.50,5.70,2.20,1.30,,
July,3.80,4.50,6.80,8.70,0.62,6.60,6.50,6.15,4.05,7.90,,
August,6.20,2.45,4.80,7.05,0.51,10.85,8.10,3.90,0.51,7.25,,
September,2.85,5.60,2.90,5.80,2.62,4.20,9.20,6.30,0.10,5.10,,
October,1.30,5.85,2.40,8.05,3.10,3.35,4.55,5.00,3.65,6.20,,
November,10.50,4.00,3.25,7.76,2.55,2.40,3.40,2.10,6.40,6.70,,
December,6.80,4.50,2.40,9.10,5.65,7.30,6.33,4.75,8.05,5.50,,
Total,56.95,49.30,42.70,68.67,39.15,54.36,51.75,55.60,36.96,61.45,,
Calc annual,56.95,49.30,42.70,68.67,39.15,54.36,51.75,55.60,36.96,61.45,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
