"PONTYCYMMER",,,,,,,,,,,,
Grid ref,SS903916,Long,-3.585701,Lat,51.612507,,,,,,,
Station no,4070,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.13,9.44,3.07,7.32,6.44,10.99,11.75,7.57,9.82,9.39,,
February,7.04,1.99,5.58,9.19,4.27,1.15,8.35,10.47,0.90,7.18,,
March,8.10,7.66,5.12,7.95,3.98,4.75,12.29,1.72,7.81,3.89,,
April,8.14,6.59,5.64,3.54,6.61,3.02,0.96,2.56,7.35,6.05,,
May,3.59,4.76,5.32,5.29,8.90,2.89,3.45,7.50,1.78,1.78,,
June,2.28,5.01,3.68,10.22,-999.00,4.64,1.48,6.77,4.23,4.94,,
July,2.57,2.73,12.93,11.38,1.37,8.06,8.22,7.90,7.68,11.92,,
August,13.10,10.75,10.26,10.33,2.14,11.81,8.15,10.43,2.14,9.43,,
September,8.16,4.81,8.50,13.53,4.83,9.52,13.19,14.03,0.87,8.63,,
October,1.90,7.08,5.55,19.18,5.01,3.41,10.03,12.19,9.58,9.07,,
November,13.75,6.59,7.63,15.93,6.85,2.81,3.29,5.93,12.19,17.75,,
December,8.03,6.73,2.83,9.73,13.21,9.92,6.98,8.12,16.89,11.46,,
Total,86.79,74.14,76.11,123.59,74.94,72.97,88.14,95.19,81.24,101.49,,
Calc annual,86.79,74.14,76.11,123.59,63.61,72.97,88.14,95.19,81.24,101.49,,
Difference,0.00,0.00,0.00,-0.00,11.33,0.00,-0.00,0.00,-0.00,-0.00,,
