"KNOCKHOLT (KENT WATERWORKS)",,,,,,,,,,,,
Grid ref,TQ466583,Long,0.101695,Lat,51.304947,,,,,,,
Station no,386,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.44,2.90,1.33,1.90,4.11,4.32,2.20,3.57,3.32,3.55,,
February,7.28,1.05,1.89,2.71,2.21,0.95,4.65,2.43,0.16,2.52,,
March,4.57,3.85,0.47,3.37,1.68,1.23,1.47,1.59,2.25,2.10,,
April,3.80,2.06,2.75,0.40,0.29,1.72,0.12,1.58,2.61,0.93,,
May,2.30,1.56,2.07,2.81,4.50,0.75,1.74,2.05,1.30,2.06,,
June,1.72,1.71,2.27,4.43,2.19,4.11,1.45,4.01,1.26,2.16,,
July,2.64,0.85,5.03,3.58,0.26,4.60,3.87,2.02,1.75,4.04,,
August,5.90,4.24,2.13,3.37,0.93,2.68,3.41,4.36,1.00,3.04,,
September,3.17,3.58,4.35,2.92,2.44,3.08,3.03,8.67,0.25,4.28,,
October,1.40,3.58,4.39,3.13,5.42,1.80,2.25,3.92,3.89,8.37,,
November,5.89,4.18,2.10,6.28,1.40,0.93,3.37,2.12,3.29,6.00,,
December,3.58,2.95,1.05,2.41,2.84,4.25,2.73,3.37,6.67,4.26,,
Total,45.69,32.51,29.83,37.31,28.27,30.42,30.29,39.69,27.75,43.31,,
Calc annual,45.69,32.51,29.83,37.31,28.27,30.42,30.29,39.69,27.75,43.31,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
