"ALNESS (ARDROSS SCHOOL)",,,,,,,,,,,,
Grid ref,NH644736,Long,-4.278903,Lat,57.731609,,,,,,,
Station no,5776/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.77,2.67,1.81,2.30,0.94,3.83,4.04,2.74,5.41,4.63,,
February,2.27,1.29,2.06,2.17,1.76,1.98,2.20,3.05,0.94,2.71,,
March,2.41,2.64,1.11,2.21,1.32,1.50,2.77,1.96,1.62,0.94,,
April,4.34,1.23,2.58,1.12,0.89,2.72,0.81,1.90,4.40,1.80,,
May,1.51,1.72,2.08,4.63,3.63,1.79,1.75,4.50,0.97,0.62,,
June,1.44,1.35,2.15,2.46,0.80,2.11,1.94,2.21,1.61,2.85,,
July,2.04,0.94,3.96,3.74,0.42,5.55,6.80,2.24,3.42,2.82,,
August,5.91,4.34,1.68,1.92,0.46,5.79,5.29,2.99,1.34,5.15,,
September,0.88,1.64,3.18,2.26,1.90,3.10,1.71,2.44,0.68,2.85,,
October,1.15,2.50,0.67,5.07,4.22,4.00,1.70,3.17,3.71,3.98,,
November,5.67,3.22,2.41,2.42,1.17,2.39,2.09,1.22,4.60,2.39,,
December,3.85,2.94,1.93,7.16,6.78,3.30,5.96,3.77,2.35,3.06,,
Total,34.24,26.48,25.62,37.46,24.29,38.06,37.06,32.19,31.05,33.80,,
Calc annual,34.24,26.48,25.62,37.46,24.29,38.06,37.06,32.19,31.05,33.80,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
