"LANGSETT MOOR (BORDER HILL)",,,,,,,,,,,,
Grid ref,SE177011,Long,-1.734600,Lat,53.506295,,,,,,,
Station no,3155,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.16,6.00,2.36,4.44,3.60,7.14,4.07,5.50,4.59,6.09,,
February,4.05,1.77,2.70,4.00,3.55,2.02,3.64,6.90,0.36,3.58,,
March,6.04,2.12,3.60,3.01,3.01,2.45,3.83,3.03,2.06,2.43,,
April,3.02,2.79,3.74,0.74,1.91,2.92,0.37,1.38,6.26,2.71,,
May,4.20,2.68,2.80,5.13,4.12,1.24,1.53,4.16,1.26,2.16,,
June,1.01,2.66,4.40,2.76,3.63,4.28,1.11,5.45,2.38,1.43,,
July,2.81,2.42,5.43,3.97,1.15,9.04,4.23,5.48,3.33,6.06,,
August,6.43,2.78,3.96,6.18,1.08,10.12,7.19,3.32,0.87,4.84,,
September,3.24,5.21,3.30,5.60,1.63,4.63,6.30,4.83,0.16,4.40,,
October,1.10,7.29,2.46,7.51,3.34,3.51,5.42,4.35,4.50,8.67,,
November,11.18,3.11,4.20,8.36,2.54,2.50,3.44,1.39,5.62,6.92,,
December,9.10,4.12,2.15,8.61,6.39,5.80,6.72,5.31,9.86,5.71,,
Total,57.34,42.95,41.10,60.31,35.95,55.65,47.85,51.10,41.25,55.00,,
Calc annual,57.34,42.95,41.10,60.31,35.95,55.65,47.85,51.10,41.25,55.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
