"STROMEFERRY (DAILFEARN)",,,,,,,,,,,,
Grid ref,NG854337,Long,-5.568016,Lat,57.343127,,,,,,,
Station no,5788/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.29,7.72,3.56,5.75,4.92,4.82,10.98,9.22,5.51,5.85,,
February,4.61,5.09,4.14,5.36,5.24,4.67,5.02,4.27,2.93,4.94,,
March,2.72,4.51,3.11,3.71,1.68,2.15,6.11,1.95,4.49,1.17,,
April,6.41,4.55,5.29,2.47,4.98,2.92,2.79,3.41,4.32,4.56,,
May,0.93,3.37,4.42,3.21,2.55,5.02,1.85,5.58,2.04,2.24,,
June,1.99,4.41,1.53,4.32,4.10,2.45,3.02,3.04,5.49,4.23,,
July,5.59,3.84,7.33,4.87,0.96,5.53,5.51,2.25,8.12,3.68,,
August,4.80,5.46,6.86,4.07,1.71,4.40,6.15,3.76,4.93,4.99,,
September,5.68,5.20,5.85,10.49,6.94,4.91,5.76,3.85,3.34,4.11,,
October,4.79,6.67,5.94,11.77,9.86,7.25,7.87,8.97,8.29,1.26,,
November,5.79,4.36,11.25,8.59,2.77,7.46,3.33,2.47,8.29,6.29,,
December,11.44,8.66,7.78,9.38,7.33,10.98,8.64,4.84,7.34,9.62,,
Total,63.04,63.84,67.06,73.99,53.04,62.56,67.03,53.61,65.09,52.94,,
Calc annual,63.04,63.84,67.06,73.99,53.04,62.56,67.03,53.61,65.09,52.94,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
