"KIRRIEMUIR (NEWTON)",,,,,,,,,,,,
Grid ref,NO285573,Long,-3.169287,Lat,56.701916,,,,,,,
Station no,5582,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.00,2.40,1.20,2.60,2.10,3.70,4.70,4.30,1.90,4.40,,
February,4.60,1.20,1.00,4.60,1.50,1.70,4.40,2.20,0.60,5.00,,
March,1.70,4.70,0.70,3.20,1.30,3.20,3.40,4.60,3.30,2.80,,
April,2.70,1.70,2.70,1.00,1.20,0.70,1.20,1.10,3.40,3.80,,
May,1.60,3.90,2.20,6.30,2.90,0.90,2.40,3.30,1.00,2.60,,
June,3.00,2.60,2.90,1.90,2.00,4.10,1.40,3.40,2.90,3.00,,
July,2.95,3.30,4.40,3.40,0.60,4.30,6.00,3.50,4.10,3.55,,
August,5.20,2.70,2.80,3.00,0.80,6.25,5.35,4.70,1.40,5.90,,
September,2.60,1.20,4.10,3.90,1.10,5.40,2.40,4.30,1.00,2.74,,
October,0.90,4.10,2.10,7.00,2.40,2.40,2.10,2.90,3.50,9.50,,
November,12.40,2.20,3.50,7.80,2.40,1.50,1.70,1.10,7.50,5.50,,
December,3.90,2.70,4.80,4.80,7.50,6.70,4.85,6.40,8.50,2.90,,
Total,45.55,32.70,32.40,49.50,25.80,40.85,39.90,41.80,39.10,51.69,,
Calc annual,45.55,32.70,32.40,49.50,25.80,40.85,39.90,41.80,39.10,51.69,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
