"LONG MELFORD (STAFFORD WORKS)",,,,,,,,,,,,
Grid ref,TL847456,Long,0.693870,Lat,52.077946,,,,,,,
Station no,1339/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.74,1.92,0.77,1.16,1.81,2.39,1.23,1.86,1.70,2.12,,
February,3.29,0.64,0.85,1.61,1.65,0.46,1.99,2.36,0.12,1.05,,
March,2.73,2.59,0.44,1.93,1.25,0.40,1.58,0.69,1.63,1.33,,
April,2.79,1.02,2.21,0.29,0.27,0.76,0.14,0.90,1.81,0.64,,
May,2.34,0.96,1.33,1.57,1.93,0.55,0.99,2.02,0.41,0.58,,
June,1.12,1.05,3.18,2.57,2.31,1.77,1.31,4.57,2.15,1.11,,
July,1.75,0.65,2.20,2.71,0.11,2.84,2.57,2.66,2.45,2.35,,
August,2.14,2.93,1.46,3.39,1.29,5.18,2.08,3.45,0.63,2.87,,
September,3.27,3.24,1.71,1.08,1.88,1.50,2.55,2.90,0.03,3.06,,
October,0.94,2.01,2.20,1.92,3.85,2.41,1.81,1.85,1.88,5.87,,
November,3.32,3.81,1.16,3.15,1.47,0.80,2.22,1.22,1.79,2.82,,
December,1.42,2.26,0.70,1.92,1.54,1.75,1.63,2.96,3.42,2.48,,
Total,26.85,23.08,18.21,23.30,19.36,20.81,20.10,27.44,18.02,26.28,,
Calc annual,26.85,23.08,18.21,23.30,19.36,20.81,20.10,27.44,18.02,26.28,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
