"DAVIDSON'S MAINS (EASTER PARK)",,,,,,,,,,,,
Grid ref,NT202757,Long,-3.280017,Lat,55.967646,,,,,,,
Station no,5144/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.13,2.07,0.36,2.65,1.86,1.49,3.62,0.92,0.54,2.64,,
February,1.80,0.48,0.63,1.28,1.52,1.89,3.30,1.84,0.51,1.92,,
March,2.66,1.00,0.37,1.50,1.42,1.17,1.93,2.64,0.57,1.28,,
April,2.40,1.33,2.06,2.05,0.47,0.72,0.73,1.48,1.72,0.69,,
May,3.17,1.47,1.84,4.14,1.81,0.70,1.76,2.16,0.75,1.69,,
June,2.09,2.08,1.33,2.61,0.96,2.60,1.36,3.47,1.84,1.31,,
July,5.25,2.37,5.19,2.12,1.15,5.02,4.21,6.24,2.77,3.11,,
August,5.22,4.52,1.80,4.18,1.20,6.61,3.24,3.57,0.34,4.48,,
September,0.99,2.37,2.36,3.24,1.45,3.61,1.58,3.51,0.75,1.36,,
October,0.46,1.68,1.12,7.00,1.56,1.79,1.83,1.41,1.82,3.23,,
November,3.97,2.30,3.40,2.61,0.87,0.72,1.76,1.31,5.23,2.39,,
December,2.05,2.11,3.17,3.00,3.62,2.58,2.43,4.16,2.85,2.55,,
Total,33.19,23.78,23.63,36.38,17.89,28.90,27.75,32.71,19.69,26.65,,
Calc annual,33.19,23.78,23.63,36.38,17.89,28.90,27.75,32.71,19.69,26.65,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
