"WEM (THE MODERN SCHOOL)",,,,,,,,,,,,
Grid ref,SJ508293,Long,-2.732168,Lat,52.858928,,,,,,,
Station no,2309/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.55,3.89,,
February,,,,,,,,,0.17,1.48,,
March,,,,,,,,,1.82,1.73,,
April,,,,,,,,,3.22,1.23,,
May,,,,,,,,,1.96,1.60,,
June,,,,,,,,,2.01,2.39,,
July,,,,,,,,,1.23,2.64,,
August,,,,,,,,,0.92,5.69,,
September,,,,,,,,,0.40,4.59,,
October,,,,,,,,,2.23,4.46,,
November,,,,,,,,,3.07,4.54,,
December,,,,,,,,,4.62,2.62,,
Total,,,,,,,,,25.20,36.86,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.20,36.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
