"GLENDEVON (GLENSHERUP RESERVOIR)",,,,,,,,,,,,
Grid ref,NN959037,Long,-3.680067,Lat,56.214450,,,,,,,
Station no,5530/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,2.45,8.45,7.55,2.75,6.72,,
February,,,,,,2.50,3.90,2.85,2.95,5.94,,
March,,,,,,1.05,5.50,2.55,4.50,2.81,,
April,,,,,,1.05,3.15,1.95,4.85,6.13,,
May,,,,,,2.95,3.30,4.65,0.85,5.08,,
June,,,,,,3.85,1.75,3.35,3.50,4.38,,
July,,,,,,6.30,6.15,6.25,5.85,6.95,,
August,,,,,,6.50,6.50,5.95,1.70,5.25,,
September,,,,,,6.35,2.55,7.25,1.05,3.98,,
October,,,,,4.50,4.40,5.10,4.00,5.55,6.47,,
November,,,,,2.80,1.05,2.40,2.30,9.60,7.55,,
December,,,,,9.05,6.55,7.30,9.85,11.50,6.93,,
Total,,,,,,45.00,56.05,58.50,54.65,68.19,,
Calc annual,0.00,0.00,0.00,0.00,16.35,45.00,56.05,58.50,54.65,68.19,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
