"SOYLAND MOOR (MANSHEAD)",,,,,,,,,,,,
Grid ref,SE004198,Long,-1.995421,Lat,53.674670,,,,,,,
Station no,3222,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.40,4.86,2.39,5.09,3.70,5.99,5.47,5.09,4.27,5.77,,
February,3.91,1.65,3.03,4.82,2.95,1.91,3.56,7.67,0.78,4.24,,
March,6.11,3.26,2.87,3.82,3.04,2.05,4.45,2.67,2.49,1.92,,
April,2.99,3.65,4.24,0.95,2.66,3.30,0.63,1.55,4.77,3.56,,
May,3.45,1.84,3.96,3.87,4.30,1.88,2.16,5.80,2.76,2.54,,
June,1.31,4.17,3.14,3.88,3.67,3.90,2.65,6.49,2.40,1.93,,
July,4.18,2.73,7.68,6.48,1.10,8.90,5.99,5.90,3.72,8.41,,
August,6.30,5.85,6.15,8.44,1.48,12.27,7.24,6.68,0.57,6.02,,
September,2.97,4.49,4.07,7.57,3.77,5.37,6.44,6.32,0.65,3.39,,
October,1.77,6.64,3.08,10.20,3.33,3.40,8.05,5.59,5.06,5.73,,
November,10.74,3.17,6.34,8.15,3.25,2.07,3.82,2.29,5.60,8.77,,
December,9.75,4.72,2.55,9.58,7.30,5.04,6.59,5.82,8.54,6.14,,
Total,59.88,47.03,49.50,72.85,40.55,56.08,57.05,61.87,41.61,58.42,,
Calc annual,59.88,47.03,49.50,72.85,40.55,56.08,57.05,61.87,41.61,58.42,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
