"LINLITHGOW (GRANGE)",,,,,,,,,,,,
Grid ref,NT000787,Long,-3.604620,Lat,55.990805,,,,,,,
Station no,5161,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.47,2.28,0.66,2.95,2.35,1.89,4.67,1.91,0.91,3.01,,
February,1.97,0.54,0.93,2.11,2.15,1.72,2.98,3.22,0.82,2.69,,
March,2.73,1.89,0.53,2.47,1.63,1.41,2.17,1.86,1.09,2.05,,
April,1.98,1.02,2.07,1.66,0.62,0.63,1.38,1.35,2.14,1.65,,
May,2.36,1.38,1.98,4.20,2.95,1.25,2.67,2.98,1.01,2.46,,
June,1.85,2.52,1.45,2.36,0.94,3.30,1.75,4.14,1.74,1.38,,
July,6.91,2.16,5.18,2.14,0.74,4.65,3.52,5.88,3.67,2.90,,
August,5.29,3.65,2.54,4.18,1.13,5.52,2.90,3.84,0.75,3.82,,
September,1.84,2.17,3.18,3.84,1.82,3.92,1.99,3.74,0.69,1.67,,
October,0.50,2.08,1.50,8.34,1.69,1.83,2.51,1.95,2.30,4.21,,
November,4.73,1.98,4.39,3.81,1.38,0.51,1.59,1.25,5.07,3.02,,
December,3.46,2.10,3.63,3.81,4.47,3.00,3.70,5.14,4.19,3.26,,
Total,37.09,23.77,28.04,41.87,21.87,29.63,31.83,37.26,24.38,32.12,,
Calc annual,37.09,23.77,28.04,41.87,21.87,29.63,31.83,37.26,24.38,32.12,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
