"FETTERCAIRN (FASQUE)",,,,,,,,,,,,
Grid ref,NO649757,Long,-2.577421,Lat,56.871366,,,,,,,
Station no,5615,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.98,1.76,0.43,1.51,1.61,4.82,3.31,4.63,2.49,6.77,,
February,3.78,1.38,1.02,2.28,3.69,1.81,3.27,3.69,0.39,3.50,,
March,3.22,4.70,0.24,2.50,1.89,1.85,3.30,6.11,1.98,2.90,,
April,3.29,1.83,3.40,0.97,0.76,1.48,1.23,2.45,2.68,2.83,,
May,1.30,2.99,2.36,3.89,2.91,0.84,1.94,3.55,1.68,1.27,,
June,2.24,3.18,1.54,1.76,1.14,3.29,1.84,2.77,4.30,1.73,,
July,4.66,2.01,3.51,2.31,0.98,4.84,5.25,6.46,2.51,4.33,,
August,4.07,2.36,1.85,2.44,0.78,5.33,7.65,4.09,0.82,4.61,,
September,2.10,0.74,2.43,2.20,2.47,4.99,2.68,3.61,0.87,3.64,,
October,1.14,3.67,1.59,6.32,3.75,3.06,1.86,1.99,4.63,10.48,,
November,9.99,3.09,2.73,7.17,2.89,1.37,1.78,0.97,7.09,5.87,,
December,2.46,3.85,3.44,4.22,5.79,5.21,4.42,5.39,7.20,2.49,,
Total,43.23,31.56,24.54,37.57,28.66,38.89,38.53,45.71,36.64,50.42,,
Calc annual,43.23,31.56,24.54,37.57,28.66,38.89,38.53,45.71,36.64,50.42,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
