"MANOR PARK (CITY OF LONDON CEMETERY)",,,,,,,,,,,,
Grid ref,TQ418863,Long,0.044083,Lat,51.557766,,,,,,,
Station no,1257,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.22,1.66,0.36,0.90,2.51,2.97,1.64,1.86,1.69,1.56,,
February,5.34,0.81,1.85,2.20,1.53,0.28,3.02,2.39,0.02,1.83,,
March,2.78,2.99,0.41,1.65,1.21,0.69,1.37,1.08,1.30,1.18,,
April,2.70,0.86,2.23,0.26,0.38,1.16,0.09,1.78,1.80,0.42,,
May,1.79,1.27,1.30,1.81,4.12,0.64,1.01,2.07,1.09,2.17,,
June,0.91,2.17,1.33,2.56,2.12,3.05,0.74,4.93,0.73,1.41,,
July,1.12,0.78,3.79,1.76,0.30,3.78,4.25,2.05,1.33,3.00,,
August,3.83,2.80,1.50,2.05,0.94,4.51,1.23,3.01,1.29,4.25,,
September,2.82,2.70,2.11,1.26,2.11,2.07,2.17,4.19,0.12,5.24,,
October,1.01,2.31,3.15,1.59,3.31,1.47,1.75,2.12,1.81,5.39,,
November,4.27,3.97,0.99,2.96,0.40,0.42,2.10,1.86,2.88,3.64,,
December,1.85,1.97,0.37,1.31,1.63,1.79,1.43,3.03,3.17,2.55,,
Total,30.64,24.29,19.39,20.31,20.56,22.83,20.80,30.37,17.23,32.64,,
Calc annual,30.64,24.29,19.39,20.31,20.56,22.83,20.80,30.37,17.23,32.64,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
