"MINTERNE",,,,,,,,,,,,
Grid ref,ST659040,Long,-2.485600,Lat,50.834519,,,,,,,
Station no,1605/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.82,3.11,1.10,2.35,3.27,5.69,4.09,4.41,6.21,4.16,,
February,6.71,0.86,2.78,3.79,3.01,0.44,5.38,4.06,0.37,4.51,,
March,5.27,3.77,0.89,5.47,1.89,0.99,3.33,1.48,4.20,3.18,,
April,3.42,2.59,3.27,0.16,0.87,1.06,0.41,1.04,4.05,2.92,,
May,3.66,3.56,3.13,2.03,5.25,0.72,2.21,3.32,2.74,2.13,,
June,0.79,1.58,3.30,4.17,2.70,3.10,2.90,4.68,1.28,2.01,,
July,2.97,1.12,3.11,3.12,4.92,3.93,4.61,2.18,1.42,4.29,,
August,5.94,4.06,2.11,3.71,0.57,5.11,4.42,2.88,1.60,6.78,,
September,4.26,4.67,3.04,4.35,1.27,6.51,4.68,6.92,0.13,5.60,,
October,1.31,4.87,4.52,3.52,3.78,1.87,2.90,4.50,4.36,11.08,,
November,11.30,4.29,2.19,7.76,4.08,0.94,2.78,3.51,5.77,6.45,,
December,4.03,3.73,1.12,3.37,6.42,7.62,3.85,6.50,11.57,5.27,,
Total,54.48,38.21,30.56,43.80,38.03,37.98,41.56,45.48,43.70,58.38,,
Calc annual,54.48,38.21,30.56,43.80,38.03,37.98,41.56,45.48,43.70,58.38,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
