"USK",,,,,,,,,,,,
Grid ref,SO368018,Long,-2.916115,Lat,51.711357,,,,,,,
Station no,4021,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.00,4.09,0.83,2.42,4.38,5.69,4.93,4.64,6.30,5.79,,
February,5.04,0.57,1.67,4.18,2.10,0.45,5.92,6.60,0.32,4.68,,
March,4.14,2.27,1.53,4.77,2.96,0.89,4.72,1.25,3.82,2.57,,
April,2.35,3.40,4.62,0.21,1.61,1.94,0.14,0.54,3.61,2.92,,
May,3.44,3.92,3.28,2.54,6.17,1.06,2.08,3.65,2.32,2.00,,
June,1.36,1.86,3.71,5.30,4.73,2.18,0.80,4.02,1.63,2.17,,
July,1.09,2.39,4.21,1.75,0.11,4.35,4.25,2.79,4.69,3.76,,
August,5.03,5.68,3.19,4.38,0.52,3.26,2.96,3.16,1.55,4.56,,
September,4.81,2.77,4.13,4.81,1.40,5.08,5.07,7.70,0.04,4.37,,
October,1.02,5.17,3.73,5.75,2.36,2.17,3.00,4.45,2.97,9.92,,
November,8.61,3.92,2.48,9.20,7.18,0.93,2.33,2.02,6.69,10.04,,
December,4.91,2.99,1.51,3.83,5.99,5.99,2.88,4.52,11.87,5.87,,
Total,46.80,39.03,34.89,49.14,39.51,33.99,39.08,45.34,45.81,58.65,,
Calc annual,46.80,39.03,34.89,49.14,39.51,33.99,39.08,45.34,45.81,58.65,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
