"SEAL (KEMSING PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ570576,Long,0.250463,Lat,51.295886,,,,,,,
Station no,384,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.15,2.85,0.99,1.84,3.69,4.67,1.94,3.16,3.01,3.13,,
February,7.49,1.05,1.76,2.23,2.37,0.76,4.23,2.43,0.13,2.31,,
March,4.14,3.24,0.35,2.81,1.31,0.88,1.38,1.60,1.74,1.63,,
April,3.13,1.55,3.22,0.43,0.23,1.35,0.22,1.70,2.43,0.82,,
May,2.27,1.14,2.01,2.07,4.22,0.57,1.64,1.86,1.23,2.05,,
June,1.48,1.16,1.57,3.82,1.85,2.79,1.18,3.94,0.94,1.88,,
July,2.70,0.64,4.02,2.91,0.55,3.78,3.73,2.09,1.79,3.23,,
August,4.94,4.10,1.55,3.50,0.95,3.03,2.85,3.67,1.10,4.48,,
September,3.50,3.29,4.15,2.32,3.12,3.30,2.93,5.86,0.20,3.18,,
October,1.20,3.13,3.11,2.31,5.07,1.57,1.60,3.19,3.09,7.44,,
November,5.29,5.50,1.34,4.85,0.97,0.95,3.93,1.51,3.82,5.88,,
December,2.66,2.63,0.93,1.79,2.37,4.13,2.37,3.72,5.60,3.86,,
Total,41.95,30.28,25.00,30.88,26.70,27.78,28.00,34.73,25.08,39.89,,
Calc annual,41.95,30.28,25.00,30.88,26.70,27.78,28.00,34.73,25.08,39.89,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
