"HORSINGTON (THROOP FARM)",,,,,,,,,,,,
Grid ref,ST687233,Long,-2.447503,Lat,51.008225,,,,,,,
Station no,2119/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.86,3.07,4.27,2.33,3.13,5.33,3.91,,
February,,,,3.23,1.72,0.25,4.13,3.71,0.37,3.51,,
March,,,,4.27,1.36,0.89,2.23,1.05,4.32,1.71,,
April,,,,0.23,1.38,1.78,0.26,0.69,2.62,2.37,,
May,,,,2.20,4.17,0.80,1.61,2.47,1.19,1.59,,
June,,,,3.66,2.19,2.76,1.20,4.05,0.63,1.74,,
July,,,,3.10,1.37,2.26,3.27,1.80,1.47,4.22,,
August,,,,2.59,1.61,5.64,2.96,3.21,1.34,5.28,,
September,,,,2.69,1.11,4.27,3.50,5.15,0.24,4.24,,
October,,,3.41,2.88,2.24,2.32,2.57,3.19,3.81,9.47,,
November,,,1.73,6.96,3.70,0.97,2.64,3.10,4.35,4.48,,
December,,,0.94,3.37,4.44,4.23,3.69,4.49,8.36,4.00,,
Total,,,,37.04,28.36,30.44,30.39,36.04,34.03,46.52,,
Calc annual,0.00,0.00,6.08,37.04,28.36,30.44,30.39,36.04,34.03,46.52,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
