"GANTON (GOLF CLUB)",,,,,,,,,,,,
Grid ref,SE983780,Long,-0.495050,Lat,54.188359,,,,,,,
Station no,3388/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.06,2.61,1.19,1.66,1.43,5.06,1.42,2.92,2.15,5.45,,
February,3.98,0.95,2.28,2.62,1.89,2.23,3.53,3.12,0.30,2.29,,
March,3.51,1.96,0.28,2.31,3.17,2.61,1.16,2.63,1.44,1.69,,
April,1.25,1.35,2.95,0.38,1.22,1.00,0.70,1.18,2.85,0.73,,
May,4.23,1.55,1.99,1.99,3.03,0.77,1.04,2.83,0.48,1.10,,
June,1.65,1.95,2.02,1.73,1.34,3.57,1.17,3.33,1.27,0.32,,
July,2.48,2.08,2.13,1.38,1.25,4.02,3.09,2.61,2.78,3.30,,
August,6.81,1.97,2.79,4.94,1.12,5.00,3.31,1.70,0.25,2.93,,
September,0.96,4.42,1.44,1.98,1.61,1.53,3.41,1.80,0.55,2.57,,
October,0.95,2.92,2.13,3.73,2.69,1.57,2.45,1.78,2.30,7.89,,
November,4.95,4.86,2.23,5.65,1.74,1.25,2.98,0.67,4.34,3.63,,
December,2.32,2.59,1.20,3.08,3.89,2.95,1.91,3.84,4.49,3.92,,
Total,35.15,29.21,22.63,31.45,24.38,31.56,26.17,28.41,23.20,35.82,,
Calc annual,35.15,29.21,22.63,31.45,24.38,31.56,26.17,28.41,23.20,35.82,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
